localdatetime,icon,summary,precip,temp,time,uv,wind
2019-04-18-05-27-48,b'partly-cloudy-night',0,Mostly Cloudy,51.09,1555579668,0,5.19
2019-04-18-04-22-47,b'cloudy',0,Overcast,51.59,1555575767,0,7.25
2019-04-19-10-04-52,b'partly-cloudy-day',0,Mostly Cloudy,67.21,1555682692,3,9.1
2019-04-18-14-22-59,b'partly-cloudy-day',0,Mostly Cloudy,55.61,1555611779,4,5.26
2019-04-18-05-57-48,b'partly-cloudy-night',0,Mostly Cloudy,51.42,1555581468,0,4.98
2019-04-15-15-51-34,b'wind',0,Breezy and Mostly Cloudy,53.73,1555357894,2,18.91
2019-04-16-23-57-12,b'rain',1,Light Rain,55.15,1555473432,0,7.49
2019-04-15-15-16-33,b'partly-cloudy-day',0,Mostly Cloudy,55.59,1555355793,3,11.72
2019-04-16-10-56-57,b'clear-day',0,Clear,55.15,1555426617,5,11.81
2019-04-18-12-17-56,b'rain',0.96,Drizzle,54.35,1555604276,4,6.14
2019-04-16-21-57-10,b'partly-cloudy-night',0.6,Partly Cloudy,57.47,1555466230,0,8.5
2019-04-19-14-39-58,b'partly-cloudy-day',0,Mostly Cloudy,75.87,1555699198,4,9.72
2019-04-15-07-21-22,b'cloudy',0,Overcast,59.42,1555327282,0,7.14
2019-04-18-04-07-46,b'cloudy',0,Overcast,51.54,1555574866,0,7.2
2019-04-14-23-31-13,b'rain',0.83,Drizzle,60.43,1555299073,0,7
2019-04-16-23-22-12,b'rain',1,Light Rain,56.52,1555471332,0,7.82
2019-04-16-17-37-05,b'clear-day',0,Clear,66.27,1555450625,1,9.24
2019-04-16-07-36-53,b'clear-day',0,Clear,45.34,1555414613,0,7.83
2019-04-19-14-34-58,b'partly-cloudy-day',0,Mostly Cloudy,75.85,1555698898,4,9.61
2019-04-16-10-16-56,b'clear-day',0,Clear,53.34,1555424216,4,11.99
2019-04-18-16-13-01,b'partly-cloudy-day',0,Mostly Cloudy,59.26,1555618381,2,4.97
2019-04-15-13-56-31,b'cloudy',0,Overcast,55.51,1555350991,3,16.08
2019-04-19-17-30-03,b'partly-cloudy-day',0,Mostly Cloudy,70.99,1555709403,1,9.62
2019-04-18-15-08-00,b'partly-cloudy-day',0,Mostly Cloudy,56.71,1555614480,4,6.31
2019-04-18-19-43-06,b'partly-cloudy-night',0,Mostly Cloudy,57.6,1555630986,0,3.46
2019-04-18-14-27-59,b'partly-cloudy-day',0,Mostly Cloudy,55.94,1555612079,4,5.3
2019-04-15-10-41-27,b'rain',1,Light Rain,62.39,1555339287,4,9.59
2019-04-16-20-17-08,b'partly-cloudy-night',0,Mostly Cloudy,59.62,1555460228,0,8.08
2019-04-17-22-02-39,b'partly-cloudy-night',0,Mostly Cloudy,51.03,1555552959,0,3.06
2019-04-19-01-14-42,b'clear-night',0,Clear,55.71,1555650882,0,5.75
2019-04-18-17-18-02,b'partly-cloudy-day',0,Mostly Cloudy,59.18,1555622282,1,4.7
2019-04-17-05-37-20,b'rain',1,Drizzle,48.45,1555493840,0,3.5
2019-04-15-18-26-37,b'partly-cloudy-day',0,Mostly Cloudy,51.43,1555367197,0,10.05
2019-04-18-03-07-45,b'cloudy',0,Overcast,52.06,1555571265,0,3.87
2019-04-16-04-46-50,b'clear-night',0,Clear,44.82,1555404410,0,6.34
2019-04-15-23-01-43,b'partly-cloudy-night',0,Mostly Cloudy,47.09,1555383703,0,10.76
2019-04-17-01-47-15,b'rain',1,Light Rain,52.21,1555480035,0,6.83
2019-04-15-08-11-24,b'partly-cloudy-day',0,Mostly Cloudy,60.71,1555330284,1,2.45
2019-04-15-13-51-31,b'cloudy',0,Overcast,56.18,1555350691,3,16.31
2019-04-18-10-47-54,b'cloudy',0,Overcast,53.27,1555598874,3,7.27
2019-04-17-00-47-14,b'rain',1,Light Rain,54.03,1555476434,0,5.89
2019-04-17-23-07-40,b'partly-cloudy-night',0,Mostly Cloudy,51.27,1555556860,0,2.99
2019-04-16-08-56-55,b'clear-day',0,Clear,49.1,1555419415,2,8.95
2019-04-15-06-36-22,b'rain',1,Light Rain,59.74,1555324582,0,6.05
2019-04-18-19-13-05,b'partly-cloudy-day',0,Partly Cloudy,58.27,1555629185,0,3.46
2019-04-15-16-01-34,b'wind',0,Breezy and Mostly Cloudy,53.37,1555358494,2,19.63
2019-04-16-03-26-49,b'clear-night',0,Clear,45.71,1555399609,0,8.29
2019-04-18-23-59-40,b'partly-cloudy-night',0,Partly Cloudy,54.97,1555646380,0,3.2
2019-04-16-11-31-58,b'clear-day',0,Clear,56.27,1555428718,6,11.38
2019-04-15-00-51-15,b'cloudy',0.03,Overcast,60.2,1555303875,0,8.42
2019-04-15-02-01-16,b'partly-cloudy-night',0,Mostly Cloudy,63.45,1555308076,0,11.1
2019-04-19-04-39-46,b'clear-night',0,Clear,58.97,1555663186,0,9.31
2019-04-15-11-11-28,b'rain',1,Heavy Rain,62.39,1555341088,4,9.41
2019-04-15-06-41-22,b'rain',1,Light Rain,59.36,1555324882,0,5.38
2019-04-18-09-32-53,b'cloudy',0,Overcast,53.23,1555594373,2,6.97
2019-04-17-23-52-41,b'rain',0.99,Drizzle,51.17,1555559561,0,3.43
2019-04-18-14-02-58,b'partly-cloudy-day',0,Mostly Cloudy,54.33,1555610578,4,5.16
2019-04-15-15-06-33,b'partly-cloudy-day',0,Mostly Cloudy,54.75,1555355193,3,10.7
2019-04-14-23-56-14,b'rain',1,Drizzle,60.28,1555300574,0,5.78
2019-04-15-04-46-19,b'rain',1,Heavy Rain,64.33,1555317979,0,8.95
2019-04-18-16-33-01,b'partly-cloudy-day',0,Mostly Cloudy,59.88,1555619581,2,4.88
2019-04-17-19-12-36,b'partly-cloudy-day',0,Partly Cloudy,54.01,1555542756,0,8
2019-04-18-01-32-43,b'rain',0.88,Drizzle,51.52,1555565563,0,6.32
2019-04-16-00-56-46,b'partly-cloudy-night',0,Partly Cloudy,46.94,1555390606,0,9.49
2019-04-16-19-47-07,b'partly-cloudy-night',0,Mostly Cloudy,60.99,1555458427,0,8.71
2019-04-17-04-32-19,b'rain',1,Drizzle,50.07,1555489939,0,3.19
2019-04-17-03-07-17,b'cloudy',0,Overcast,50.55,1555484837,0,4.14
2019-04-18-11-37-55,b'cloudy',0.15,Overcast,52.73,1555601875,3,8.85
2019-04-18-04-37-47,b'partly-cloudy-night',0,Mostly Cloudy,51.09,1555576667,0,7.14
2019-04-17-18-32-35,b'partly-cloudy-day',0,Partly Cloudy,56.29,1555540355,0,8.67
2019-04-16-19-22-07,b'clear-day',0,Clear,62.65,1555456927,0,9.81
2019-04-15-00-06-14,b'cloudy',0,Overcast,60.48,1555301174,0,6.19
2019-04-16-19-32-07,b'clear-night',0,Clear,62.29,1555457527,0,9.63
2019-04-17-18-47-35,b'partly-cloudy-day',0,Partly Cloudy,55.09,1555541255,0,8.53
2019-04-17-03-37-18,b'cloudy',0.55,Overcast,50.58,1555486638,0,4.59
2019-04-19-14-24-58,b'partly-cloudy-day',0,Mostly Cloudy,75.81,1555698298,4,9.38
2019-04-17-15-07-31,b'partly-cloudy-day',0,Partly Cloudy,62.99,1555528051,5,6.1
2019-04-19-02-14-43,b'rain',0.99,Drizzle,57.11,1555654483,0,6.03
2019-04-19-12-29-55,b'partly-cloudy-day',0,Mostly Cloudy,70.98,1555691395,6,6.52
2019-04-17-03-27-17,b'cloudy',0,Overcast,50.27,1555486037,0,4.36
2019-04-17-15-22-31,b'partly-cloudy-day',0,Partly Cloudy,63.14,1555528951,4,6.45
2019-04-17-17-12-33,b'clear-day',0,Clear,59.83,1555535553,1,6.92
2019-04-18-05-47-48,b'partly-cloudy-night',0.61,Mostly Cloudy,51.48,1555580868,0,4.78
2019-04-18-03-47-46,b'partly-cloudy-night',0,Mostly Cloudy,51.53,1555573666,0,7.14
2019-04-17-03-42-18,b'rain',0.76,Drizzle,50.52,1555486938,0,4.58
2019-04-15-01-36-16,b'partly-cloudy-night',0,Mostly Cloudy,62.02,1555306576,0,10.91
2019-04-17-07-37-22,b'partly-cloudy-day',0,Mostly Cloudy,49.11,1555501042,0,0.51
2019-04-16-10-26-56,b'clear-day',0,Clear,53.87,1555424816,4,11.83
2019-04-16-19-27-07,b'clear-day',0,Clear,62.47,1555457227,0,9.72
2019-04-16-22-02-10,b'partly-cloudy-night',0.04,Partly Cloudy,57.35,1555466530,0,8.48
2019-04-15-01-31-15,b'cloudy',0,Overcast,61.8,1555306275,0,10.63
2019-04-18-02-02-44,b'cloudy',0.13,Overcast,51.73,1555567364,0,3.14
2019-04-15-03-26-18,b'partly-cloudy-night',0,Mostly Cloudy,64.71,1555313178,0,11.99
2019-04-15-22-06-41,b'partly-cloudy-night',0,Partly Cloudy,47.38,1555380401,0,9.37
2019-04-18-23-19-39,b'clear-night',0,Clear,56.23,1555643979,0,2.88
2019-04-17-21-17-38,b'partly-cloudy-night',0,Mostly Cloudy,50.97,1555550258,0,6.04
